Best for Generation 1
sqrt(truediv(mul(truediv(sqrt(current_visit_count), truediv(child_visit_count, 9.47926852357586)), add(add(child_win_score, 3.956975266658519), 3.015514965959906)), mul(10.62558115347018, add(add(child_win_score, 3.956975266658519), 3.1432633857115047))));(2516.0,)
add(mul(52.14024186495774, mul(mul(2.7048741035018176, sqrt(total_number_of_available_moves)), truediv(19.481594844730093, add(3.2895544130354146, total_number_of_available_moves)))), sqrt(add(sqrt(mul(7.316343915794761, child_win_score)), 14.738799747234797)));(2507.5999999999999,)
truediv(add(0.5884224126169665, add(sqrt(truediv(truediv(total_number_of_available_moves, 7.316343915794761), add(child_visit_count, 7.316343915794761))), sqrt(add(sqrt(current_visit_count), truediv(child_win_score, 9.47926852357586))))), mul(truediv(add(mul(mul(child_win_score, child_visit_count), add(total_number_of_available_moves, 9.47926852357586)), add(13.016685450708518, mul(total_number_of_available_moves, child_win_score))), add(add(add(child_win_score, 3.2895544130354146), 1.2894654267603), sqrt(mul(9.438469134800883, child_visit_count)))), mul(mul(3.3575763852000864, mul(truediv(3.2895544130354146, child_win_score), add(child_win_score, total_number_of_available_moves))), 2.33864882682748)));(2454.4000000000001,)
mul(truediv(3.956975266658519, total_number_of_available_moves), 8.186166546443447);(2435.5999999999999,)
add(truediv(sqrt(sqrt(truediv(2.68728845242324, total_number_of_available_moves))), 3.4063037628128963), add(sqrt(truediv(1.8137128805396445, sqrt(current_visit_count))), mul(0.8747088205130842, truediv(15.657653260947258, add(3.956975266658519, current_visit_count)))));(2435.5999999999999,)
sqrt(mul(0.14237904503340928, truediv(3.331844867578772, add(truediv(total_number_of_available_moves, current_visit_count), 24.067511415487463))));(2435.5999999999999,)
add(add(total_number_of_available_moves, child_win_score), mul(child_win_score, 3.015514965959906));(2433.5999999999999,)
mul(25.363889114503582, truediv(1.4805422989013817, child_win_score));(2318.4000000000001,)
add(truediv(4.923355222581765, child_win_score), 1.2894654267603);(2318.4000000000001,)
mul(168.88678144002472, truediv(3.2895544130354146, child_win_score));(2318.4000000000001,)
sqrt(mul(add(mul(truediv(3.956975266658519, child_visit_count), 1.2894654267603), add(14.016685732509938, truediv(4.923355222581765, child_win_score))), add(0.981989247275167, add(10.756051596738295, sqrt(total_number_of_available_moves)))));(2271.1999999999998,)
truediv(add(sqrt(current_visit_count), truediv(child_win_score, current_visit_count)), add(2.2188634979605584, sqrt(child_win_score)));(2235.1999999999998,)
truediv(mul(1.4805422989013817, child_win_score), add(truediv(1.4805422989013817, truediv(2.68728845242324, child_win_score)), 9.093330509928172));(2229.1999999999998,)
truediv(mul(truediv(child_win_score, child_win_score), 4.923355222581765), 15.119672388191418);(2229.1999999999998,)
mul(1.1109520319955835, truediv(1.6627210868101228, add(2.68728845242324, current_visit_count)));(2224.0,)
mul(truediv(current_visit_count, current_visit_count), 2.7048741035018176);(2224.0,)
truediv(11.780618962351411, mul(current_visit_count, 4.923355222581765));(2224.0,)
truediv(0.2955230154110462, sqrt(current_visit_count));(2224.0,)
sqrt(sqrt(add(7.316343915794761, current_visit_count)));(2224.0,)
truediv(13.395444401459402, truediv(current_visit_count, 1.6627210868101228));(2224.0,)
truediv(7.221519226527292, truediv(current_visit_count, 1.6627210868101228));(2224.0,)
