Best for Generation 2
add(sqrt(child_win_score), 15.701724305699157);(2724.0,)
sqrt(sqrt(add(mul(child_win_score, 1.4805422989013817), 1.2894654267603)));(2724.0,)
add(15.119672388191418, mul(sqrt(child_win_score), truediv(mul(16.195644899384803, add(9.438469134800883, child_win_score)), add(add(9.438469134800883, child_visit_count), 2.7048741035018176))));(2724.0,)
add(mul(total_number_of_available_moves, child_win_score), add(13.974052790947834, current_visit_count));(2724.0,)
mul(add(child_visit_count, 3.2895544130354146), mul(truediv(child_visit_count, current_visit_count), child_win_score));(2724.0,)
mul(truediv(truediv(1.4805422989013817, add(total_number_of_available_moves, 9.438469134800883)), 35.77531061863462), mul(add(7.221519226527292, mul(child_win_score, 9.47926852357586)), 1.4895850086384994));(2689.1999999999998,)
sqrt(truediv(3.956975266658519, child_visit_count));(2688.0,)
truediv(3.072209161955104, truediv(child_visit_count, 1.4805422989013817));(2688.0,)
truediv(truediv(3.956975266658519, current_visit_count), mul(3.078842075127573, truediv(child_visit_count, current_visit_count)));(2688.0,)
sqrt(truediv(current_visit_count, child_visit_count));(2688.0,)
mul(truediv(sqrt(add(9.093330509928172, total_number_of_available_moves)), 17.44066643251022), truediv(4.09326435141876, add(4.1678307513246216, add(child_visit_count, 1.4805422989013817))));(2688.0,)
truediv(11.342293682743028, add(1.3467415789748398, mul(sqrt(child_visit_count), truediv(current_visit_count, 4.923355222581765))));(2688.0,)
truediv(truediv(3.956975266658519, current_visit_count), mul(9.093330509928172, truediv(child_visit_count, current_visit_count)));(2688.0,)
truediv(3.072209161955104, truediv(child_visit_count, 3.956975266658519));(2688.0,)
truediv(add(truediv(2.68728845242324, child_visit_count), 11.141989610385982), add(truediv(child_visit_count, 9.47926852357586), 4.923355222581765));(2688.0,)
truediv(0.8037151673535989, mul(3.078842075127573, truediv(child_visit_count, current_visit_count)));(2688.0,)
sqrt(truediv(3.2895544130354146, child_visit_count));(2688.0,)
sqrt(truediv(2.68728845242324, child_visit_count));(2688.0,)
add(mul(add(add(truediv(child_win_score, 7.316343915794761), 29.913005508123796), truediv(mul(1.4805422989013817, current_visit_count), sqrt(child_visit_count))), mul(3.256669821893244, mul(mul(child_visit_count, 7.316343915794761), 1.2167753691217544))), add(mul(add(13.436243790234379, add(9.438469134800883, total_number_of_available_moves)), 1.2803496039753037), mul(add(mul(current_visit_count, 4.923355222581765), sqrt(total_number_of_available_moves)), sqrt(mul(current_visit_count, 1.4805422989013817)))));(2687.5999999999999,)
