Game_Id;Turn_#;Agent;Time_Limit;Move_Made;List_Of_Moves;Board;Points
6af6387f-f229-4e85-8605-c5049346c2a2;16;RAND;0;((2, 5), (2, 4));"{(4, 2): [(5, 2)], (2, 5): [(2, 4)], (5, 3): [(6, 3)], (2, 1): [(2, 2), (3, 1)], (4, 0): [(5, 0)]}
";"[[199 199  61   3 199 199 163]
 [163 199  19  43   3  61  61]
 [ 19 163 199  61  43 199 199]
 [ 43 199  43  19  61  43 199]
 [163 163  61  43 199  43  19]
 [199 163 163   3  19 163  19]
 [199  61  43 163  19   3 199]]";1860
6af6387f-f229-4e85-8605-c5049346c2a2;17;RAND;0;((4, 2), (5, 2));"{(2, 1): [(2, 2), (3, 1)], (4, 2): [(5, 2)], (2, 5): [(3, 5)], (5, 3): [(6, 3)], (3, 4): [(3, 5), (4, 4)], (2, 4): [(3, 4)], (4, 0): [(5, 0)]}
";"[[199 199  61   3 199  61 163]
 [163 199  19  43   3  19  61]
 [ 19 163 199  61 199  19 199]
 [ 43 199  43  19  61 199 199]
 [163 163  61  43 199  61  19]
 [199 163 163   3  19 163  19]
 [199  61  43 163  19   3 199]]";1920
6af6387f-f229-4e85-8605-c5049346c2a2;18;RAND;0;((0, 4), (1, 4));"{(0, 0): [(0, 1)], (3, 1): [(3, 2), (4, 1)], (0, 4): [(1, 4)], (2, 5): [(3, 5)], (3, 4): [(3, 5), (4, 4)], (2, 4): [(3, 4)], (4, 0): [(4, 1)]}
";"[[  3  61   3   3 199  61 163]
 [199 199  61  43   3  19  61]
 [163 199  19  61 199  19 199]
 [ 19 163 199  19  61 199 199]
 [ 43 199  43  43 199  61  19]
 [199 163  61   3  19 163  19]
 [199  61  43 163  19   3 199]]";1980
6af6387f-f229-4e85-8605-c5049346c2a2;19;RAND;0;((3, 1), (4, 1));"{(3, 1): [(3, 2), (4, 1)], (0, 5): [(0, 4)], (2, 5): [(3, 5)], (3, 4): [(3, 5), (4, 4)], (2, 4): [(3, 4)], (4, 0): [(4, 1)]}
";"[[  3  61 163 163  19  61 163]
 [199 199  61  43 199  19  61]
 [163 199  19  61 199  19 199]
 [ 19 163 199  19  61 199 199]
 [ 43 199  43  43 199  61  19]
 [199 163  61   3  19 163  19]
 [199  61  43 163  19   3 199]]";2040
261ba4a3-dedd-404c-9117-4cefce552ddf;0;MCTS;1;((4, 4), (4, 3));"{(0, 1): [(1, 1)], (3, 2): [(4, 2)], (6, 1): [(6, 0)], (4, 4): [(4, 3)], (2, 2): [(2, 3)], (2, 3): [(3, 3)], (0, 4): [(1, 4)], (0, 3): [(1, 3)], (2, 5): [(2, 6), (3, 5)]}
";"[[ 61   3   3  19  19 199 163]
 [ 43 163   3   3  43 199  43]
 [ 43  43 199  43  19  19 199]
 [ 19 199 199  19  19  61 163]
 [163   3  19  43 163  61 163]
 [199   3 163 199  43 199  19]
 [  3 163  43  61  43   3   3]]";60
261ba4a3-dedd-404c-9117-4cefce552ddf;1;MCTS;1;((1, 6), (2, 6));"{(0, 1): [(1, 1)], (3, 2): [(4, 2)], (6, 1): [(6, 0)], (1, 6): [(2, 6)], (2, 2): [(2, 3)], (0, 3): [(1, 3)], (3, 4): [(4, 4)], (2, 5): [(2, 6), (3, 5), (2, 4)]}
";"[[ 61   3   3  19 163 199 163]
 [ 43 163   3   3 199 199  43]
 [ 43  43 199  43  61  19 199]
 [ 19 199 199  19  19  61 163]
 [163   3  19 163  43  61 163]
 [199   3 163 199  19 199  19]
 [  3 163  43  61  19   3   3]]";120
261ba4a3-dedd-404c-9117-4cefce552ddf;2;MCTS;1;((6, 1), (6, 0));"{(0, 1): [(1, 1)], (3, 2): [(4, 2)], (2, 6): [(3, 6)], (6, 1): [(6, 0)], (1, 6): [(2, 6)], (2, 2): [(2, 3)], (2, 5): [(3, 5), (2, 4)], (3, 4): [(4, 4)], (0, 3): [(1, 3)]}
";"[[ 61   3   3  19  61 199 163]
 [ 43 163   3   3 163 199 163]
 [ 43  43 199  43  61  19  43]
 [ 19 199 199  19  19  61 163]
 [163   3  19 163  43  61 163]
 [199   3 163 199  19 199  19]
 [  3 163  43  61  19   3   3]]";180
261ba4a3-dedd-404c-9117-4cefce552ddf;3;MCTS;1;((2, 6), (3, 6));"{(3, 2): [(4, 2)], (0, 0): [(0, 1)], (2, 6): [(3, 6)], (1, 6): [(2, 6)], (4, 2): [(5, 2), (4, 3)], (2, 5): [(3, 5), (2, 4)], (3, 4): [(4, 4)]}
";"[[ 61  43   3  19  61 199 163]
 [ 43 163   3   3 163 199 163]
 [ 43  19 199  43  61  19  43]
 [ 19   3 199  19  19  61 163]
 [163 163  19 163  43  61 163]
 [199  43 163 199  19 199  19]
 [163 199  43  61  19   3   3]]";240
261ba4a3-dedd-404c-9117-4cefce552ddf;4;MCTS;1;((3, 2), (4, 2));"{(4, 2): [(5, 2), (4, 3)], (3, 2): [(4, 2)], (0, 0): [(0, 1)], (3, 4): [(4, 4)], (2, 5): [(3, 5), (2, 4)]}
";"[[ 61  43   3  19  61 199 163]
 [ 43 163   3   3 163 199 199]
 [ 43  19 199  43  61  19 163]
 [ 19   3 199  19  19  61  43]
 [163 163  19 163  43  61 163]
 [199  43 163 199  19 199  19]
 [163 199  43  61  19   3   3]]";300
261ba4a3-dedd-404c-9117-4cefce552ddf;5;MCTS;1;((0, 0), (0, 1));"{(1, 2): [(1, 3)], (3, 2): [(3, 1)], (0, 0): [(1, 0), (0, 1)], (2, 1): [(3, 1)], (0, 6): [(1, 6)], (0, 4): [(1, 4)], (4, 2): [(5, 2), (4, 3)], (5, 2): [(5, 3)], (0, 2): [(0, 3)]}
";"[[ 61  43  43   3 199 199 163]
 [ 43 163   3  19  61 199 199]
 [ 43  19   3   3 163  19 163]
 [ 19   3 199  43  61  61  43]
 [163 163 199 163  43  61 163]
 [199  43 163 199  19 199  19]
 [163 199  43  61  19   3   3]]";360
